,Date,Daily Return
0,2022/3/7,-0.955691569
1,2022/3/8,1.779739689
2,2022/3/9,8.363122962
3,2022/3/10,-6.04327709
4,2022/3/11,-1.635386929
5,2022/3/12,0.28237759
6,2022/3/13,-2.661874189
7,2022/3/14,4.810078425
8,2022/3/15,-0.820549598
9,2022/3/16,4.597262378
10,2022/3/17,-0.460527365
11,2022/3/18,2.091390294
12,2022/3/19,0.947499072
13,2022/3/20,-2.236431812
14,2022/3/21,-0.407642383
15,2022/3/22,3.127768969
16,2022/3/23,1.247694735
17,2022/3/24,2.504931468
18,2022/3/25,0.873848637
19,2022/3/26,0.340404123
20,2022/3/27,5.201928384
21,2022/3/28,0.653866375
22,2022/3/29,0.775561732
23,2022/3/30,-0.830720903
24,2022/3/31,-3.237150676
25,2022/4/1,1.596957125
26,2022/4/2,-0.899959558
27,2022/4/3,1.296225014
28,2022/4/4,0.381959951
29,2022/4/5,-2.291746712
30,2022/4/6,-5.132616684
31,2022/4/7,0.68587087
32,2022/4/8,-2.798457258
33,2022/4/9,1.182672697
34,2022/4/10,-1.340353813
35,2022/4/11,-6.348508895
36,2022/4/12,1.501171221
37,2022/4/13,2.599868726
38,2022/4/14,-2.975453392
39,2022/4/15,1.53748545
40,2022/4/16,-0.315227446
41,2022/4/17,-1.733950417
42,2022/4/18,2.781919055
43,2022/4/19,1.652227183
44,2022/4/20,-0.306895973
45,2022/4/21,-2.040419189
46,2022/4/22,-1.938374424
47,2022/4/23,-0.634122515
48,2022/4/24,-0.023005079
49,2022/4/25,2.497182827
50,2022/4/26,-5.762798224
51,2022/4/27,2.940218963
52,2022/4/28,1.356725384
53,2022/4/29,-2.913837721
54,2022/4/30,-2.307899343
55,2022/5/1,2.004143933
56,2022/5/2,0.148524502
57,2022/5/3,-2.018412693
58,2022/5/4,5.166787034
59,2022/5/5,-7.861309525
60,2022/5/6,-1.455333297
61,2022/5/7,-1.499759236
62,2022/5/8,-4.066355418
63,2022/5/9,-11.04832875
64,2022/5/10,2.474930663
65,2022/5/11,-6.705622304
66,2022/5/12,0.383656209
67,2022/5/13,0.868706348
68,2022/5/14,2.785061126
69,2022/5/15,4.008584809
70,2022/5/16,-4.604650408
71,2022/5/17,1.886817751
72,2022/5/18,-5.601433827
73,2022/5/19,5.549981421
74,2022/5/20,-3.663272547
75,2022/5/21,0.795781872
76,2022/5/22,3.028117992
77,2022/5/23,-3.993765857
78,2022/5/24,1.905290388
79,2022/5/25,-0.306117509
80,2022/5/26,-1.006443346
81,2022/5/27,-2.131767832
82,2022/5/28,0.671760157
83,2022/5/29,1.468269448
84,2022/5/30,7.753955339
85,2022/5/31,0.215753383
86,2022/6/1,-6.270256131
87,2022/6/2,2.257426163
88,2022/6/3,-2.505648092
89,2022/6/4,0.426764959
90,2022/6/5,0.239801042
91,2022/6/6,4.882563839
92,2022/6/7,-0.689358183
93,2022/6/8,-3.008283991
94,2022/6/9,-0.341817956
95,2022/6/10,-3.409213343
96,2022/6/11,-2.488787282
97,2022/6/12,-5.677355484
98,2022/6/13,-15.89594029
99,2022/6/14,-1.250415912
100,2022/6/15,1.694435924
101,2022/6/16,-9.721051905
102,2022/6/17,0.420704675
103,2022/6/18,-7.110598972
104,2022/6/19,8.113076974
105,2022/6/20,0.224615297
106,2022/6/21,0.564732781
107,2022/6/22,-3.534775469
108,2022/6/23,5.500030636
109,2022/6/24,0.697226766
110,2022/6/25,1.265580952
111,2022/6/26,-2.182677862
112,2022/6/27,-1.392222029
113,2022/6/28,-2.174995438
114,2022/6/29,-0.873452986
115,2022/6/30,-1.609214784
116,2022/7/1,-2.780476427
117,2022/7/2,-0.169029081
118,2022/7/3,0.285730149
119,2022/7/4,4.839778446
120,2022/7/5,-0.174228259
121,2022/7/6,1.751094936
122,2022/7/7,5.303597811
123,2022/7/8,0.434266398
124,2022/7/9,-0.573845743
125,2022/7/10,-3.383947708
126,2022/7/11,-4.247132052
127,2022/7/12,-3.237582278
128,2022/7/13,4.585029578
129,2022/7/14,1.773513662
130,2022/7/15,1.279200293
131,2022/7/16,1.709758667
132,2022/7/17,-1.961294934
133,2022/7/18,8.198366612
134,2022/7/19,4.101789893
135,2022/7/20,-0.690196483
136,2022/7/21,-0.295147729
137,2022/7/22,-1.937395282
138,2022/7/23,-1.063575222
139,2022/7/24,0.639443745
140,2022/7/25,-5.509118725
141,2022/7/26,-0.568168623
142,2022/7/27,7.9380786
143,2022/7/28,3.969043156
144,2022/7/29,-0.170181236
145,2022/7/30,-0.59088289
146,2022/7/31,-1.332542242
147,2022/8/1,-0.096498276
148,2022/8/2,-1.417154031
149,2022/8/3,-0.586541692
150,2022/8/4,-0.950874342
151,2022/8/5,2.927853138
152,2022/8/6,-1.417451048
153,2022/8/7,0.924879532
154,2022/8/8,2.717738697
155,2022/8/9,-2.717873466
156,2022/8/10,3.387935852
157,2022/8/11,0.038347508
